correct	correct_response	count_exp_sequence	leksikalnost	rec	response	response_time	trial_number	naziv_fajla	exp_title	accuracy
1	3	107	pseudorec	NORAVOM	3	415	158	subject-3.csv	PRIDEVI_C	98.1481481481
0	1	108	rec	PRAVILNOJ	3	547	65	subject-3.csv	PRIDEVI_C	97.247706422
1	3	109	pseudorec	HURNOM	3	788	175	subject-3.csv	PRIDEVI_C	97.2727272727
1	3	110	pseudorec	NJERNOM	3	1078	171	subject-3.csv	PRIDEVI_C	97.2972972973
1	1	111	rec	BLISKOG	1	561	3	subject-3.csv	PRIDEVI_C	97.3214285714
1	3	112	pseudorec	RIROKOG	3	572	126	subject-3.csv	PRIDEVI_C	97.3451327434
1	3	113	pseudorec	TORNOG	3	503	141	subject-3.csv	PRIDEVI_C	97.3684210526
1	1	114	rec	STRAŠNOJ	1	480	86	subject-3.csv	PRIDEVI_C	97.3913043478
1	1	115	rec	SLIČNOJ	1	585	80	subject-3.csv	PRIDEVI_C	97.4137931034
1	1	116	rec	POSEBNOJ	1	667	62	subject-3.csv	PRIDEVI_C	97.4358974359
1	3	117	pseudorec	SRLAVOJ	3	691	184	subject-3.csv	PRIDEVI_C	97.4576271186
0	1	118	rec	VISOKOJ	3	700	98	subject-3.csv	PRIDEVI_C	96.6386554622
1	3	119	pseudorec	DURAVOM	3	850	156	subject-3.csv	PRIDEVI_C	96.6666666667
1	1	120	rec	DRUŠTVENOG	1	607	15	subject-3.csv	PRIDEVI_C	96.694214876
1	3	121	pseudorec	TULAVOM	3	646	152	subject-3.csv	PRIDEVI_C	96.7213114754
0	1	122	rec	OZBILJNOJ	3	757	59	subject-3.csv	PRIDEVI_C	95.9349593496
1	3	123	pseudorec	KLAKNOJ	3	613	188	subject-3.csv	PRIDEVI_C	95.9677419355
1	3	124	pseudorec	KISAVOM	3	1030	153	subject-3.csv	PRIDEVI_C	96
1	3	125	pseudorec	LOTIVOM	3	505	144	subject-3.csv	PRIDEVI_C	96.0317460317
1	1	126	rec	POLITIČKOM	1	700	61	subject-3.csv	PRIDEVI_C	96.062992126
1	1	127	rec	NEBESKOG	1	730	45	subject-3.csv	PRIDEVI_C	96.09375
1	3	128	pseudorec	HAČNOJ	3	809	182	subject-3.csv	PRIDEVI_C	96.1240310078
1	1	129	rec	MRAČNOJ	1	541	41	subject-3.csv	PRIDEVI_C	96.1538461538
0	1	130	rec	EKONOMSKOJ	3	966	17	subject-3.csv	PRIDEVI_C	95.4198473282
1	1	131	rec	ČUDESNOM	1	587	10	subject-3.csv	PRIDEVI_C	95.4545454545
1	3	132	pseudorec	ŽUNAVOM	3	672	147	subject-3.csv	PRIDEVI_C	95.4887218045
1	1	133	rec	NAUČNOJ	1	1022	44	subject-3.csv	PRIDEVI_C	95.5223880597
0	1	134	rec	JUŽNOM	None	1501	25	subject-3.csv	PRIDEVI_C	94.8148148148
1	3	135	pseudorec	LANKOJ	3	684	200	subject-3.csv	PRIDEVI_C	94.8529411765
1	3	136	pseudorec	ROTANOG	3	664	122	subject-3.csv	PRIDEVI_C	94.8905109489
